# x_m, y_m, w_tr_right_m, w_tr_left_m
0.0, 0.0, 10.0, 10.0
-0.017904528786084485, 0.567381920942438, 10.0, 10.0
-0.03626229242233876, 1.1347493582153731, 10.0, 10.0
-0.05497861845162788, 1.7021050804067954, 10.0, 10.0
-0.07398614046433068, 2.269451121611206, 10.0, 10.0
-0.09323626446689559, 2.836788983109335, 10.0, 10.0
-0.11269360068886272, 3.404119775884175, 10.0, 10.0
-0.1323322735491388, 3.971444320471903, 10.0, 10.0
-0.1519709464094149, 4.538768865059626, 10.0, 10.0
-0.1716096192697023, 5.106093409647355, 10.0, 10.0
-0.19124829212998976, 5.673417954235077, 10.0, 10.0
-0.21088696499026582, 6.240742498822806, 10.0, 10.0
-0.23052563785054192, 6.808067043410529, 10.0, 10.0
-0.4222954572762319, 7.342358305477223, 10.0, 10.0
-0.7679144578759293, 7.792680770814951, 10.0, 10.0
-1.2344337917731538, 8.116103910777856, 10.0, 10.0
-1.7385856461577192, 8.377013328170182, 10.0, 10.0
-2.249512939533463, 8.624391818033628, 10.0, 10.0
-2.7619088521442907, 8.86871382912371, 10.0, 10.0
-3.2746616389390057, 9.112285986805245, 10.0, 10.0
-3.787509129151454, 9.35565868072585, 10.0, 10.0
-4.300356619363902, 9.599031374646456, 10.0, 10.0
-4.8132041095763505, 9.842404068567072, 10.0, 10.0
-5.326051599788798, 10.085776762487678, 10.0, 10.0
-5.838899090001246, 10.329149456408283, 10.0, 10.0
-6.351746580213694, 10.572522150328888, 10.0, 10.0
-6.864594070426143, 10.815894844249506, 10.0, 10.0
-7.3774415606386015, 11.059267538170111, 10.0, 10.0
-7.89028905085105, 11.302640232090717, 10.0, 10.0
-8.403136541063498, 11.546012926011322, 10.0, 10.0
-8.915984031275958, 11.789385619931938, 10.0, 10.0
-9.428831521488405, 12.032758313852543, 10.0, 10.0
-9.941679011700854, 12.276131007773149, 10.0, 10.0
-10.454526501913302, 12.519503701693754, 10.0, 10.0
-10.96737399212575, 12.76287639561437, 10.0, 10.0
-11.480221482338198, 13.006249089534975, 10.0, 10.0
-11.993068972550645, 13.24962178345558, 10.0, 10.0
-12.505916462763095, 13.492994477376186, 10.0, 10.0
-13.018763952975542, 13.736367171296791, 10.0, 10.0
-13.531611443187991, 13.97973986521741, 10.0, 10.0
-14.044458933400449, 14.223112559138015, 10.0, 10.0
-14.557306423612898, 14.46648525305862, 10.0, 10.0
-15.070153913825346, 14.709857946979236, 10.0, 10.0
-15.583001404037795, 14.953230640899841, 10.0, 10.0
